Device Date/Time,TOTAL FUEL USED,ENGINE HOURS,Speed,GPS Latitude,GPS Longitude,GPS Altitude,Internal Temperature,Supply Voltage,System Voltage,Supply Hours,ENGINE SPEED,COOLANT TEMP,ENGINE LOAD,THROTTLE,FUEL RATE,INTAKE TEMP,CABIN CURRENT TEMP,CABIN TARGET TEMP,AC1 VENT TEMP,AC1 DISCHARGE LINE T,AC1 EVAP TEMP,AC1 EVAP FAN SPEED,AC1 DISCHARGE PRES,AC1 SUCTION PRES,CABIN PRESSURE,SPOTTER M CO2,SPOTTER M HUMIDITY,SPOTTER A CO2,SPOTTER A HUMIDITY,SPOTTER A TEMP,AC2 VENT TEMP,AC2 DISCHARGE LINE T,AC2 EVAP TEMP,AC2 EVAP FAN SPEED,AC2 DISCHARGE PRES,AC2 SUCTION PRES,AC3 VENT TEMP,AC3 DISCHARGE LINE T,AC3 EVAP TEMP,AC3 EVAP FAN SPEED,AC3 DISCHARGE PRES,AC3 SUCTION PRES,BMS1 SOC,BMS1 SOH,BMS2 SOC,BMS2 SOH,BMS3 SOC,BMS3 SOH,BMS1 VOLTAGE,BMS1 CURRENT,BMS1 TEMPERATURE,BMS2 VOLTAGE,BMS2 CURRENT,BMS2 TEMPERATURE,BMS3 VOLTAGE,BMS3 CURRENT,BMS3 TEMPERATURE,Vibration,FUEL USED DELTA,Estimated CO2 (kg)
2025-05-04 16:05:00+00:00,20.0,0.0,0.47333333333333333,-21.728190666666666,116.19570933333333,167.4,24.41,26.835333333333335,4.1593333333333335,1370.7053333333336,1858.3666666666666,80.6,76.93333333333334,30.773333333333333,258.23333333333335,51.93333333333333,20.866666666666667,21.0,10.6,35.93333333333333,6.2,53.0,136.93333333333334,34.333333333333336,141.73333333333332,739.8,28.8,533.6,27.6,34.0,8.666666666666666,36.666666666666664,4.533333333333333,15.0,141.13333333333333,31.333333333333332,10.133333333333333,38.13333333333333,5.933333333333334,53.0,148.73333333333332,33.46666666666667,75.0,100.0,89.0,100.0,91.0,100.0,28.073333333333334,-0.18000000000000002,23.9,27.95,-0.55,26.61428571428571,28.0,-0.05333333333333332,23.833333333333332,2212,20.0,53.6
2025-05-04 16:10:00+00:00,5.5,0.10000000000582077,0.0,-21.728186,116.19577533333333,167.41333333333333,24.387333333333334,26.841333333333335,4.165333333333334,1370.7893333333334,1156.6733333333332,82.53333333333333,30.8,12.32,67.74,51.13333333333333,20.466666666666665,21.0,7.666666666666667,36.86666666666667,1.8666666666666667,53.0,133.86666666666667,28.266666666666666,134.6,582.4,30.2,530.1333333333333,27.133333333333333,34.0,6.133333333333334,37.93333333333333,2.0,15.0,135.8,25.733333333333334,7.466666666666667,40.93333333333333,2.066666666666667,53.0,147.6,28.466666666666665,74.6,100.0,88.8,100.0,90.46666666666667,100.0,27.033333333333335,-16.68,23.9,27.073333333333334,-15.479999999999999,25.9,27.073333333333334,-13.233333333333333,23.166666666666668,896,5.5,14.74
2025-05-04 16:15:00+00:00,18.0,0.0,0.11333333333333333,-21.728180666666667,116.19577266666667,165.84,24.285333333333334,26.850666666666665,4.167333333333334,1370.872,1708.4199999999998,80.8,73.93333333333334,29.573333333333334,244.07333333333335,51.2,20.066666666666666,21.0,9.333333333333334,34.4,4.8,53.0,125.73333333333333,31.733333333333334,149.66666666666666,829.2666666666667,26.733333333333334,509.4,27.0,34.0,7.066666666666666,34.266666666666666,4.933333333333334,15.0,127.2,29.266666666666666,8.666666666666666,37.93333333333333,4.933333333333334,53.0,134.26666666666668,32.13333333333333,74.6,100.0,88.66666666666667,100.0,90.46666666666667,100.0,27.633333333333333,18.653333333333332,23.9,27.569230769230767,18.2,26.361538461538462,27.66,14.806666666666667,23.633333333333333,1912,18.0,48.24
2025-05-04 16:20:00+00:00,20.5,0.0,0.3466666666666667,-21.728186,116.19577133333334,166.32000000000002,24.189999999999998,26.845333333333333,4.1626666666666665,1370.9553333333336,1853.0933333333335,80.86666666666666,77.8,31.12,262.32666666666665,51.46666666666667,20.733333333333334,21.0,10.333333333333334,35.2,5.2,53.0,127.8,33.2,138.93333333333334,657.0666666666667,27.0,504.46666666666664,27.0,34.0,8.4,34.666666666666664,3.7333333333333334,15.0,130.26666666666668,29.866666666666667,10.133333333333333,36.86666666666667,5.266666666666667,53.0,138.4,32.86666666666667,75.0,100.0,89.0,100.0,91.0,100.0,28.1,0.24666666666666667,23.9,27.993333333333332,0.5866666666666667,25.9,28.0,0.0,23.033333333333335,1940,20.5,54.94
2025-05-04 16:25:00+00:00,22.0,0.09999999999854481,0.19333333333333333,-21.728175333333333,116.19578066666666,168.08666666666664,24.144,26.825333333333333,4.164,1371.0393333333334,1850.2333333333333,80.46666666666667,82.4,32.96,277.18,51.333333333333336,20.333333333333332,21.0,10.733333333333333,33.8,7.666666666666667,53.0,119.4,37.333333333333336,135.4,1041.8666666666666,28.466666666666665,510.73333333333335,27.0,34.0,9.0,33.46666666666667,7.8,15.0,119.4,33.8,9.666666666666666,36.333333333333336,7.466666666666667,53.0,126.0,36.0,75.0,100.0,89.0,100.0,91.0,100.0,28.046666666666667,0.0,23.9,27.973333333333336,0.39333333333333337,25.9,28.013333333333332,0.09333333333333332,22.9,1976,22.0,58.96
2025-05-04 16:30:00+00:00,20.5,0.0,0.3133333333333333,-21.728175333333333,116.19577333333334,167.14,24.156,26.81,4.166,1371.122,1861.1866666666667,81.26666666666667,75.13333333333334,30.053333333333335,253.51333333333332,51.333333333333336,20.4,21.0,9.666666666666666,34.266666666666666,4.066666666666666,53.0,126.6,30.8,145.93333333333334,974.6,32.266666666666666,518.8,27.0,34.0,7.933333333333334,33.266666666666666,3.6,15.0,124.0,28.133333333333333,9.266666666666667,34.6,3.7333333333333334,53.0,123.86666666666666,31.133333333333333,75.0,100.0,89.0,100.0,91.0,100.0,28.086666666666666,0.0,23.9,27.98,1.4733333333333332,25.9,28.0,0.0,22.9,2468,20.5,54.94
2025-05-04 16:35:00+00:00,19.5,0.0,0.35333333333333333,-21.72814933333333,116.19583266666667,168.66,24.162,26.800666666666665,4.163333333333333,1371.2053333333336,1860.5666666666666,82.0,71.0,28.4,245.45333333333335,51.4,20.533333333333335,21.0,11.866666666666667,32.86666666666667,9.2,53.0,121.6,39.333333333333336,143.2,455.06666666666666,28.733333333333334,526.6666666666666,27.0,34.0,10.133333333333333,31.533333333333335,7.866666666666666,15.0,122.0,36.06666666666667,11.2,32.8,9.133333333333333,53.0,123.4,37.333333333333336,75.0,100.0,89.0,100.0,91.0,100.0,28.060000000000002,0.0,23.9,27.933333333333334,-0.9533333333333334,25.9,27.993333333333332,0.13333333333333333,22.9,2068,19.5,52.26
2025-05-04 16:40:00+00:00,18.5,0.0,0.30666666666666664,-21.728142,116.19584733333333,168.75333333333336,24.15,26.849333333333334,4.17,1371.2893333333334,1867.6733333333332,82.46666666666667,62.2,24.88,210.61333333333332,51.666666666666664,20.066666666666666,21.0,10.733333333333333,33.333333333333336,6.666666666666667,53.0,123.13333333333334,34.333333333333336,144.8,646.1333333333333,32.13333333333333,536.2,27.0,34.0,8.533333333333333,32.266666666666666,6.6,15.0,119.93333333333334,31.666666666666668,10.466666666666667,33.13333333333333,6.933333333333334,53.0,120.26666666666667,33.666666666666664,75.0,100.0,89.0,100.0,91.0,100.0,28.066666666666666,0.4066666666666666,23.9,27.936363636363637,0.5181818181818183,25.9,28.013333333333332,1.0933333333333333,22.9,1820,18.5,49.58
2025-05-04 16:45:00+00:00,6.0,0.0,0.1,-21.72816,116.19584133333335,167.80666666666667,24.156,26.775333333333332,4.162,1371.372,1161.7933333333335,80.73333333333333,29.4,11.76,67.42,49.333333333333336,20.0,21.0,11.333333333333334,33.06666666666667,8.333333333333334,53.0,122.8,36.13333333333333,144.0,952.7333333333333,32.666666666666664,535.6,27.0,34.0,9.066666666666666,32.0,7.066666666666666,15.0,122.13333333333334,33.2,10.733333333333333,33.0,8.266666666666667,53.0,120.4,35.733333333333334,74.86666666666666,100.0,89.0,100.0,90.6,100.0,27.313333333333333,-7.406666666666666,23.9,27.281818181818185,-5.372727272727273,25.9,27.42,-3.92,22.9,972,6.0,16.08
2025-05-04 16:50:00+00:00,1.5,0.0,0.0,-21.728159333333334,116.195834,168.60666666666665,24.158,26.804,4.164666666666666,1371.4553333333336,800.1333333333333,78.66666666666667,21.066666666666666,8.426666666666668,18.546666666666667,48.0,20.0,21.0,11.466666666666667,33.0,8.8,53.0,121.73333333333333,37.733333333333334,140.26666666666668,890.8,32.53333333333333,524.8,27.0,34.0,10.066666666666666,32.0,8.8,14.0,121.66666666666667,36.2,11.133333333333333,33.0,8.533333333333333,53.0,122.6,36.4,74.0,100.0,88.57142857142857,100.0,90.0,100.0,26.64,-2.7733333333333334,23.766666666666666,26.74285714285714,2.214285714285714,25.9,26.753333333333334,-3.2333333333333334,22.9,472,1.5,4.02
