machine_code,cycle_start_time,channel_code,min_stress,max_stress,life,damage,cycle_start_time_5min,sum_payload,count_payload,avg_payload
RTIO_MJ_15H225,2025-05-01 08:40:00,SG01,32.136,31.312,5.019292,1.67309740615483e-06,2025-05-01 08:40:00,40.671782,2.0,20.335891
RTIO_MJ_15H225,2025-05-01 08:45:00,SG01,30.625333,45.732,26.983043,8.99434774146104e-06,2025-05-01 08:45:00,277.670832,8.0,34.708854
RTIO_MJ_15H225,2025-05-01 08:50:00,SG01,31.449333,46.968,27.051907,9.01730245476613e-06,2025-05-01 08:50:00,223.058083,7.0,31.86544042857143
RTIO_MJ_15H225,2025-05-01 08:55:00,SG01,71.550667,46.968,36.329232,1.21097438911579e-05,2025-05-01 08:55:00,75.774332,3.0,25.258110666666667
RTIO_MJ_15H225,2025-05-01 09:00:00,SG01,33.234667,51.912,31.145412,1.03818040280883e-05,2025-05-01 09:00:00,205.815114,7.0,29.40215914285714
RTIO_MJ_15H225,2025-05-01 09:05:00,SG01,50.676,52.598667,28.942723,9.64757434652952e-06,2025-05-01 09:05:00,72.152659,2.0,36.0763295
RTIO_MJ_15H225,2025-05-01 09:10:00,SG01,34.470667,39.277333,22.495518,7.49850599827171e-06,,,,
RTIO_MJ_15H225,2025-05-01 09:15:00,SG01,40.513333,42.710667,25.353703,8.45123434591602e-06,,,,
RTIO_MJ_15H225,2025-05-01 09:20:00,SG01,35.157333,48.478667,24.510063,8.17002107686443e-06,,,,
RTIO_MJ_15H225,2025-05-01 09:25:00,SG01,22.248,43.122667,2.437408,8.12469182860212e-07,2025-05-01 09:25:00,21.676224,1.0,21.676224
RTIO_MJ_15H225,2025-05-01 09:30:00,SG01,-3.708,20.737333,0.037002,1.23339623288247e-08,2025-05-01 09:30:00,25.437894,1.0,25.437894
RTIO_MJ_15H225,2025-05-01 09:35:00,SG01,-3.296,6.729333,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 09:40:00,SG01,29.114667,43.946667,6.676135,2.22537830626076e-06,2025-05-01 09:40:00,66.12867800000001,3.0,22.04289266666667
RTIO_MJ_15H225,2025-05-01 09:45:00,SG01,13.596,46.556,5.902842,1.96761386719596e-06,,,,
RTIO_MJ_15H225,2025-05-01 11:11:10,SG01,0.274667,0.274667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 11:15:00,SG01,9.064,27.192,0.898662,2.99553903759297e-07,,,,
RTIO_MJ_15H225,2025-05-01 11:20:00,SG01,23.484,30.625333,4.072675,1.35755833478953e-06,,,,
RTIO_MJ_15H225,2025-05-01 11:25:00,SG01,-2.197333,3.708,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 11:30:00,SG01,-1.373333,2.609333,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 11:35:00,SG01,23.484,38.178667,2.875757,9.58585803194723e-07,,,,
RTIO_MJ_15H225,2025-05-01 11:40:00,SG01,3.021333,23.072,0.145444,4.84814910156749e-08,,,,
RTIO_MJ_15H225,2025-05-01 11:45:00,SG01,23.072,36.256,3.363924,1.12130814061433e-06,,,,
RTIO_MJ_15H225,2025-05-01 11:50:00,SG01,34.745333,42.436,13.027461,4.34248716223551e-06,2025-05-01 11:50:00,82.069414,3.0,27.35647133333333
RTIO_MJ_15H225,2025-05-01 11:55:00,SG01,32.96,56.718667,13.786296,4.59543191529551e-06,2025-05-01 11:55:00,99.770494,3.0,33.25683133333333
RTIO_MJ_15H225,2025-05-01 12:00:00,SG01,39.414667,56.444,26.344669,8.78155644862268e-06,2025-05-01 12:00:00,204.079952,6.0,34.013325333333334
RTIO_MJ_15H225,2025-05-01 12:05:00,SG01,34.470667,31.312,3.254869,1.08495628640247e-06,2025-05-01 12:05:00,33.564995,1.0,33.564995
RTIO_MJ_15H225,2025-05-01 12:10:00,SG01,41.612,61.250667,31.011684,1.03372278367554e-05,2025-05-01 12:10:00,206.927912,6.0,34.487985333333334
RTIO_MJ_15H225,2025-05-01 12:15:00,SG01,31.037333,37.08,3.507022,1.16900732002099e-06,2025-05-01 12:15:00,33.217189,1.0,33.217189
RTIO_MJ_15H225,2025-05-01 12:20:00,SG01,35.569333,60.976,6.522612,2.17420398036995e-06,2025-05-01 12:20:00,37.400315,1.0,37.400315
RTIO_MJ_15H225,2025-05-01 12:25:00,SG01,29.114667,69.216,32.336472,1.07788241180455e-05,2025-05-01 12:25:00,243.83986900000002,7.0,34.834267000000004
RTIO_MJ_15H225,2025-05-01 12:30:00,SG01,1.510667,9.750667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 12:35:00,SG01,32.548,60.564,24.30357,8.10119012708937e-06,2025-05-01 12:35:00,262.163299,7.0,37.451899857142855
