machine_code,cycle_start_time,cycle_end_time,cycle_time,avg_payload
RTIO_MJ_15H225,1/05/2025 5:36:36,1/05/2025 5:36:44,8,37.104841
RTIO_MJ_15H225,1/05/2025 5:36:49,1/05/2025 5:37:01,12,35.444668
RTIO_MJ_15H225,1/05/2025 5:37:20,1/05/2025 5:37:33,13,37.42898
RTIO_MJ_15H225,1/05/2025 5:37:50,1/05/2025 5:38:06,16,32.617114
RTIO_MJ_15H225,1/05/2025 5:38:32,1/05/2025 5:38:47,15,43.28358
RTIO_MJ_15H225,1/05/2025 5:39:04,1/05/2025 5:39:27,23,35.466284
RTIO_MJ_15H225,1/05/2025 5:39:42,1/05/2025 5:40:00,18,24.006621
RTIO_MJ_15H225,1/05/2025 5:40:29,1/05/2025 5:40:53,24,41.17647
RTIO_MJ_15H225,1/05/2025 5:41:12,1/05/2025 5:41:26,14,39.558775
RTIO_MJ_15H225,1/05/2025 5:41:42,1/05/2025 5:41:56,14,36.979031
RTIO_MJ_15H225,1/05/2025 5:42:13,1/05/2025 5:42:30,17,36.773535
RTIO_MJ_15H225,1/05/2025 5:42:48,1/05/2025 5:43:02,14,40.524143
RTIO_MJ_15H225,1/05/2025 5:43:19,1/05/2025 5:43:34,15,39.955702
RTIO_MJ_15H225,1/05/2025 5:43:50,1/05/2025 5:44:01,11,23.727569
RTIO_MJ_15H225,1/05/2025 5:46:22,1/05/2025 5:47:34,72,26.206687
RTIO_MJ_15H225,1/05/2025 5:49:28,1/05/2025 5:49:51,23,39.181572
RTIO_MJ_15H225,1/05/2025 5:50:17,1/05/2025 5:50:38,21,43.325126
RTIO_MJ_15H225,1/05/2025 5:50:58,1/05/2025 5:51:12,14,36.260275
RTIO_MJ_15H225,1/05/2025 5:51:29,1/05/2025 5:51:43,14,33.770363
RTIO_MJ_15H225,1/05/2025 5:52:04,1/05/2025 5:52:19,15,38.610443
RTIO_MJ_15H225,1/05/2025 5:52:42,1/05/2025 5:52:57,15,27.19501
RTIO_MJ_15H225,1/05/2025 5:53:12,1/05/2025 5:53:25,13,33.287534
RTIO_MJ_15H225,1/05/2025 5:53:49,1/05/2025 5:54:10,21,33.148351
RTIO_MJ_15H225,1/05/2025 5:54:29,1/05/2025 5:54:43,14,37.584592
RTIO_MJ_15H225,1/05/2025 5:55:04,1/05/2025 5:55:18,14,35.473776
RTIO_MJ_15H225,1/05/2025 5:55:36,1/05/2025 5:55:50,14,36.028834
RTIO_MJ_15H225,1/05/2025 5:56:10,1/05/2025 5:56:23,13,36.711955
